ID	PA	frequency	voltage	xc	h2f_avg_L	series			
R00	2	100	4	NaN	NaN	2			
R01	2	100	6	NaN	NaN	2			
R02	2	100	8	NaN	NaN	1			
R03	2	100	10	NaN	NaN	1			
R04	2	100	12	NaN	NaN	1			
R05	2	200	4	NaN	NaN	2			
R06	2	200	8	NaN	NaN	1			
R07	2	200	10	NaN	NaN	3			
R08	2	200	12	NaN	NaN	1			
R09	2	300	4	NaN	NaN	2			
R10	2	300	6	NaN	NaN	2			
R11	2	300	8	NaN	NaN	2			
R12	2	300	10	NaN	NaN	3			
R13	2	300	12	NaN	NaN	3			
R14	2	500	6	NaN	NaN	2			
R15	2	500	8	NaN	NaN	1			
R16	2	500	10	NaN	NaN	3			
R17	2	500	12	NaN	NaN	1			
R18	2	800	6	NaN	NaN	2			
R19	2	800	8	NaN	NaN	1			
R20	2	800	10	NaN	NaN	1			
R21	2	1000	4	NaN	NaN	2			
R22	2	1000	6	NaN	NaN	1			
R23	2	1000	8	NaN	NaN	1			
R24	2	1000	10	NaN	NaN	1			
R25	2	2000	2	NaN	NaN	1			
R26	2	2000	6	NaN	NaN	2			
R27	2	2000	8	NaN	NaN	1			
R28	2	2000	10	NaN	NaN	1			
R29	2	3000	4	NaN	NaN	2			
R30	2	3000	6	NaN	NaN	1			
R31	2	3000	8	NaN	NaN	1			
R32	2	4000	4	NaN	NaN	2			
R33	2	4000	6	NaN	NaN	1			
R34	2	4000	8	NaN	NaN	1			
R35	2	0	0	NaN	NaN	1			
R36	2	0	0	NaN	NaN	2			
R37	2	0	0	NaN	NaN	3			
